Time (s), Velocity (cm/s)
0.506000, 4.179577
0.508000, 4.099568
0.510000, 4.019788
0.512000, 3.940619
0.514000, 3.862520
0.516000, 3.785961
0.518000, 3.711422
0.520000, 3.639403
0.522000, 3.570374
0.524000, 3.504805
0.526000, 3.443076
0.528000, 3.385557
0.530000, 3.332538
0.532000, 3.284249
0.534000, 3.240830
0.536000, 3.202361
0.538000, 3.168852
0.540000, 3.140242
0.542000, 3.116413
0.544000, 3.097164
0.546000, 3.082275
0.548000, 3.071466
0.550000, 3.064437
0.552000, 3.060858
0.554000, 3.060389
0.556000, 3.062680
0.558000, 3.067391
0.560000, 3.074212
0.562000, 3.082833
0.564000, 3.092964
0.566000, 3.104365
0.568000, 3.116836
0.570000, 3.130176
0.572000, 3.144257
0.574000, 3.158958
0.576000, 3.174219
0.578000, 3.189970
0.580000, 3.206201
0.582000, 3.222902
0.584000, 3.240073
0.586000, 3.257754
0.588000, 3.275935
0.590000, 3.294666
0.592000, 3.313927
0.594000, 3.333748
0.596000, 3.354109
0.598000, 3.374980
0.600000, 3.396321
0.602000, 3.418061
0.604000, 3.440152
0.606000, 3.462483
0.608000, 3.484944
0.610000, 3.507435
0.612000, 3.529836
0.614000, 3.552007
0.616000, 3.573818
0.618000, 3.595159
0.620000, 3.615910
0.622000, 3.635951
0.624000, 3.655182
0.626000, 3.673533
0.628000, 3.690924
0.630000, 3.707315
0.632000, 3.722645
0.634000, 3.736916
0.636000, 3.750127
0.638000, 3.762278
0.640000, 3.773399
0.642000, 3.783530
0.644000, 3.792731
0.646000, 3.801052
0.648000, 3.808553
0.650000, 3.815314
0.652000, 3.821395
0.654000, 3.826876
0.656000, 3.831817
0.658000, 3.836288
0.660000, 3.840339
0.662000, 3.844030
0.664000, 3.847420
0.666000, 3.850531
0.668000, 3.853402
0.670000, 3.856053
0.672000, 3.858504
0.674000, 3.860775
0.676000, 3.862856
0.678000, 3.864767
0.680000, 3.866478
0.682000, 3.867999
0.684000, 3.869310
0.686000, 3.870391
0.688000, 3.871242
0.690000, 3.871843
0.692000, 3.872174
0.694000, 3.872224
0.696000, 3.871985
0.698000, 3.871436
0.700000, 3.870577
0.702000, 3.869388
0.704000, 3.867879
0.706000, 3.866040
0.708000, 3.863871
0.710000, 3.861372
0.712000, 3.858543
0.714000, 3.855394
0.716000, 3.851935
0.718000, 3.848156
0.720000, 3.844087
0.722000, 3.839728
0.724000, 3.835078
0.726000, 3.830169
0.728000, 3.824990
0.730000, 3.819571
0.732000, 3.813912
0.734000, 3.808023
0.736000, 3.801914
0.738000, 3.795595
0.740000, 3.789056
0.742000, 3.782317
0.744000, 3.775368
0.746000, 3.768209
0.748000, 3.760870
0.750000, 3.753331
0.752000, 3.745632
0.754000, 3.737793
0.756000, 3.729893
0.758000, 3.722094
0.760000, 3.714765
0.762000, 3.708726
0.764000, 3.705597
0.766000, 3.708428
0.768000, 3.722599
0.770000, 3.756890
