0.0, 3.02982
0.005431, 4.630417
0.010861, 9.215211
0.016292, 16.254362
0.021722, 23.603119
0.027153, 29.701617
0.032583, 33.961496
0.038014, 36.410603
0.043444, 37.542922
0.048875, 38.060362
0.054306, 38.347581
0.059736, 38.510194
0.065167, 38.541333
0.070597, 38.3534
0.076028, 37.752696
0.081458, 36.54724
0.086889, 34.777611
0.092319, 32.627346
0.09775, 30.313062
0.103181, 27.99825
0.108611, 25.758183
0.114042, 23.604048
0.119472, 21.518429
0.124903, 19.48981
0.130333, 17.54095
0.135764, 15.724394
0.141194, 14.097126
0.146625, 12.684706
0.152056, 11.485006
0.157486, 10.478154
0.162917, 9.626125
0.168347, 8.911316
0.173778, 8.33875
0.179208, 7.926503
0.184639, 7.68503
0.190069, 7.613887
0.1955, 7.69745
0.200931, 7.892218
0.206361, 8.15232
0.211792, 8.436044
0.217222, 8.713186
0.222653, 8.971244
0.228083, 9.209826
0.233514, 9.432269
0.238944, 9.638501
0.244375, 9.818649
0.249806, 9.952449
0.255236, 10.011965
0.260667, 9.971747
0.266097, 9.807935
0.271528, 9.495029
0.276958, 9.017213
0.282389, 8.354103
0.287819, 7.474994
0.29325, 6.338566
0.298681, 4.922425
0.304111, 3.287773
0.309542, 1.62677
0.314972, 0.173626
0.320403, -0.559727
0.325833, 0.287245
0.331264, 2.564516
0.336694, 4.701686
0.342125, 5.874138
0.347556, 6.219014
0.352986, 6.103155
0.358417, 5.823705
0.363847, 5.631892
0.369278, 5.672747
0.374708, 5.924116
0.380139, 6.293491
0.385569, 6.660939
0.391, 6.88589
0.396431, 6.880538
0.401861, 6.660178
0.407292, 6.334457
0.412722, 6.025739
0.418153, 5.79384
0.423583, 5.640905
0.429014, 5.532215
0.434444, 5.429733
0.439875, 5.308756
0.445306, 5.165491
0.450736, 5.013153
0.456167, 4.864228
0.461597, 4.720777
0.467028, 4.575746
0.472458, 4.423163
0.477889, 4.263961
0.483319, 4.108142
0.48875, 3.971026
0.494181, 3.866913
0.499611, 3.805207
0.505042, 3.784384
0.510472, 3.795129
0.515903, 3.82426
0.521333, 3.85717
0.526764, 3.882622
0.532194, 3.895611
0.537625, 3.896819
0.543056, 3.891582
0.548486, 3.88563
0.553917, 3.882346
0.559347, 3.881535
0.564778, 3.879644
0.570208, 3.87218
0.575639, 3.855435
0.581069, 3.828639
0.5865, 3.793952
0.591931, 3.755205
0.597361, 3.716946
0.602792, 3.682782
0.608222, 3.654568
0.613653, 3.632673
0.619083, 3.615915
0.624514, 3.602546
0.629944, 3.590888
0.635375, 3.579584
0.640806, 3.567757
0.646236, 3.554984
0.651667, 3.541035
0.657097, 3.52588
0.662528, 3.50955
0.667958, 3.492108
0.673389, 3.473601
0.678819, 3.454122
0.68425, 3.433681
0.689681, 3.412235
0.695111, 3.389746
0.700542, 3.366175
0.705972, 3.341529
0.711403, 3.315848
0.716833, 3.289332
0.722264, 3.262198
0.727694, 3.234684
0.733125, 3.207013
0.738556, 3.179307
0.743986, 3.151601
0.749417, 3.12384
0.754847, 3.095971
0.760278, 3.067937
0.765708, 3.039547
0.771139, 3.010684
0.776569, 2.98338
0.782, 3.00454
