artery _name,artery_index,p,d_1,d_2,S,Ru,Rd,L,R,C
L. brachial,0,NaN,1,4,NaN,0.42,0.24,12.125,-,-
L. ulnar A,1,0,2,3,4,0.22,0.22,7.7,-,-
L. ulnar B,2,1,NaN,NaN,3,0.21,0.19,19.7,39596.74342,1.29761E-05
L. interosseous,3,1,NaN,NaN,2,0.09,0.09,9.1,632214.6711,2.77523E-06
L. radial,4,0,NaN,NaN,1,0.18,0.14,27,39596.74342,8.4757E-06
